Base_Number,Base_Name,Pick_Up_Date,Number_of_Trips,Number_of_Vehicles
B01285,UNION RADIO DISPATCH INC,01-02-2015,"1,341",140
B01300,KENNEDY RAD DISP INC,01-02-2015,705,108
B01312,BROOKLYN RAD DISP INC,01-02-2015,506,96
B01313,JOY CAR SERVICES INC.,01-02-2015,8,8
B01315,"V.I.T. CAR SERVICE, INC.",01-02-2015,"1,592",143
B01341,A NEW DAY RAD DISP INC,01-02-2015,"1,062",138
b01346,ARECIBO C/S INC,01-02-2015,684,106
B01367    ,"ROYAL DISPATCH SERVICES, INC.",01-02-2015,52,23
B01386,FENIX CAR SVCE CORP,01-02-2015,"2,170",183
B01522,"STM ENTERPRISES,INC",01-02-2015,66,14
B01651,U.P.S. RADIO DISPATCH CORP.,01-02-2015,411,56
B01777,PREMIUM RADIO DISP & MULTI SVC,01-02-2015,677,131
B01848,GRAND LIMO & CAR SERVICE INC.,01-02-2015,11, -   
B01877,U.S.A. LIMO. INC.,01-02-2015,76,43
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",01-02-2015,726,88
B01949,FIRST CLASS OF NEW YORK INC.,01-02-2015,1,1
