DATE,TIME,PICK_UP_ADDRESS
07-01-2014,12:49:00 AM,"THE BODEGA 2701 Decatur Ave Fordham, BX"
07-01-2014,12:49:00 AM," 2509 Cruger Ave Williamsbridge, BX"
07-01-2014,12:50:00 AM," 4438 Furman Ave Wakefield, BX"
07-01-2014,12:50:00 AM," 919 E 174th St Westfarms, BX"
07-01-2014,12:51:00 AM,"JACOBY HOSP: ER 1400 Pelham Pkwy S Morris Park, BX"
07-01-2014,12:51:00 AM," 3288 Reservoir Vl E Williamsbridge, BX"
07-01-2014,12:53:00 AM," 658 E 234th St Wakefield, BX"
07-01-2014,12:54:00 AM," 2180 Holland Ave Parkchester, BX"
07-01-2014,12:56:00 AM," 965 Tinton Ave Morrisania, BX"
07-01-2014,12:57:00 AM," 3745 Barnes Ave Williamsbridge, BX"
07-01-2014,12:59:00 AM," 3728 Paulding Ave Baychester, BX"
07-01-2014,12:59:00 AM," 648 E 220th St Williamsbridge, BX"
07-01-2014,12:59:00 AM," 133 Elliot Pl High Bridge, BX"
07-01-2014,1:02:00 AM," 2857 Briggs Ave Fordham, BX"
07-01-2014,1:02:00 AM," 1276 Clay Ave Morrisania, BX"
07-01-2014,1:02:00 AM," 3220 Steuben Ave Williamsbridge, BX"
07-01-2014,1:04:00 AM," 2488 Arthur Ave Fordham, BX"
