DATE,TIME,PICK_UP_ADDRESS
07-01-2014,3:28:00 AM, 621 Melrose Ave Bronx
07-01-2014,3:30:00 AM," 370 Brook Ave Mott Haven, BX"
07-01-2014,3:34:00 AM," 810 E 152nd St South Bronx, BX"
07-01-2014,3:34:00 AM," 510 E 156th St South Bronx, BX"
07-01-2014,3:40:00 AM," 760 Grand Concourse Cortlandt, BX"
07-01-2014,3:43:00 AM," 535 E 142nd St Mott Haven, BX"
07-01-2014,3:48:00 AM," 929 Courtlandt Ave Cortlandt, BX"
07-01-2014,3:48:00 AM," 205 Brook Ave Mott Haven, BX"
07-01-2014,3:49:00 AM," 388 E 141st St Mott Haven, BX"
07-01-2014,3:52:00 AM," 466 Concord Ave South Bronx, BX"
07-01-2014,3:53:00 AM," 760 Grand Concourse Cortlandt, BX"
07-01-2014,3:53:00 AM," 335 E 148th St Cortlandt, BX"
